Cód,Unidade da Federação,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,lat,lon
11,Rondônia,6136,6718,7062,6804,7467,7391,7553,7853,8277,8201,8151,-10.83,-63.34
12,Acre,2866,2905,3034,3227,3343,3394,3546,3596,3844,3915,4166,-8.77,-70.55
13,Amazonas,12604,12859,13192,14074,14650,14982,15706,16491,16608,17053,17510,-3.47,-65.1
14,Roraima,1469,1515,1620,1575,1777,1925,1933,2069,2123,2442,2742,1.99,-61.33
15,Pará,29293,30141,31248,32213,33471,33806,35203,36965,38126,39577,40174,-3.79,-52.48
16,Amapá,2098,2144,2154,2506,2623,2689,2876,2952,3005,3166,3348,1.41,-51.77
17,Tocantins,5889,6101,6597,6772,6743,6925,7140,7375,7500,8047,7746,-9.46,-48.26
21,Maranhão,24085,24417,25143,27905,27864,29911,31351,32969,33628,34544,33737,-5.42,-45.44
22,Piauí,16806,16974,16515,18081,18336,18961,19349,20105,19988,20647,20737,-6.6,-42.28
23,Ceará,43189,44238,43961,48024,48820,51668,52064,55360,54403,59392,57128,-5.2,-39.53
24,Rio Grande do Norte,15581,16216,16088,17795,17920,18925,19118,20135,21882,21392,21184,-5.81,-36.59
25,Paraíba,22399,22697,23283,24430,25052,25855,25150,26301,27964,26830,26498,-7.28,-36.72
26,Pernambuco,54302,54936,54746,57482,57340,58382,58108,62999,67346,64699,62372,-8.38,-37.86
27,Alagoas,16173,16850,17553,18510,18153,19046,18830,19573,20545,20486,19221,-9.62,-36.82
28,Sergipe,10782,11258,11414,11888,12277,12462,12511,13772,13896,13668,13323,-10.57,-37.45
29,Bahia,70146,72641,75594,77135,79491,80714,82868,86240,87220,90209,89428,-13.29,-41.71
31,Minas Gerais,112013,113426,120146,121883,124451,125128,127075,130613,134488,137471,135120,-18.1,-44.38
32,Espírito Santo,20452,20508,21273,21502,21737,21843,22201,22523,22997,24231,23529,-19.19,-40.34
33,Rio de Janeiro,122628,123896,127563,127069,126247,129984,130974,132659,141105,136662,140504,-22.25,-42.66
35,São Paulo,250434,257884,266106,271801,271728,278259,282786,288934,297702,296006,299777,-22.19,-48.79
41,Paraná,63836,65138,67284,68829,68940,70293,69697,71041,75003,71904,74121,-24.89,-51.55
42,Santa Catarina,31727,33598,34234,35700,35177,35986,36815,37768,40106,39772,41246,-27.45,-50.95
43,Rio Grande do Sul,73981,76756,77942,80068,79422,82933,82062,82327,87497,86139,88473,-30.17,-53.5
50,Mato Grosso do Sul,13034,13470,14263,14084,14435,14721,14920,15296,16568,15775,16339,-20.51,-54.54
51,Mato Grosso,13813,14194,14899,15171,15821,16139,16882,16977,17451,17639,18117,-12.64,-55.42
52,Goiás,28552,28707,30536,32051,33942,34160,35421,36871,36173,38295,37776,-15.98,-49.86
53,Distrito Federal,12719,12901,13497,13919,13939,13992,14900,14411,14329,14501,14252,-15.83,-47.86
